Support,Pattern,Cluster Sequence
13,take place mediat → agreement implement reach → effort progress lead → take place mediat,4 → 27 → 1 → 4
13,take place mediat → agreement implement reach → effort progress lead → cessat continu mediat,4 → 27 → 1 → 38
13,take place mediat → agre end set → take place mediat → agreement implement reach,4 → 35 → 4 → 27
13,take place mediat → agre end set → juli meet immedi,4 → 35 → 21
13,take place mediat → agre end set → negoti take place → take place mediat,4 → 35 → 18 → 4
13,take place mediat → juli meet immedi → cessat continu mediat → take place mediat,4 → 21 → 38 → 4
13,take place mediat → juli meet immedi → take place mediat → establish develop implement,4 → 21 → 4 → 43
13,take place mediat → juli meet immedi → take place mediat → negoti take place,4 → 21 → 4 → 18
13,take place mediat → juli meet immedi → establish develop implement → cessat continu mediat,4 → 21 → 43 → 38
13,take place mediat → juli meet immedi → meet take place → take place mediat,4 → 21 → 22 → 4
13,take place mediat → juli meet immedi → tension violenc continu,4 → 21 → 24
13,take place mediat → juli meet immedi → govern congoles congo,4 → 21 → 44
13,take place mediat → juli meet immedi → octob septemb decemb → take place mediat,4 → 21 → 13 → 4
13,take place mediat → juli meet immedi → reconcili refus resum,4 → 21 → 30
13,take place mediat → meet turkana pokot → parti meet reach,4 → 45 → 39
13,take place mediat → meet turkana pokot → meet take place,4 → 45 → 22
13,take place mediat → lead ceasefir peac → commit agreement committe,4 → 8 → 11
13,take place mediat → lead ceasefir peac → agreement implement reach → agreement implement reach,4 → 8 → 27 → 27
13,take place mediat → lead ceasefir peac → reconcili refus resum,4 → 8 → 30
13,take place mediat → lead ceasefir peac → meet take place,4 → 8 → 22
13,take place mediat → negoti take place → parti meet reach → cessat continu mediat,4 → 18 → 39 → 38
13,take place mediat → negoti take place → cessat continu mediat → parti meet reach,4 → 18 → 38 → 39
13,take place mediat → negoti take place → cessat continu mediat → negoti take place,4 → 18 → 38 → 18
13,take place mediat → negoti take place → take place mediat → agre end set,4 → 18 → 4 → 35
13,take place mediat → negoti take place → take place mediat → negoti take place → negoti take place,4 → 18 → 4 → 18 → 18
13,take place mediat → negoti take place → take place mediat → ababa take meet,4 → 18 → 4 → 40
13,take place mediat → negoti take place → take place mediat → octob septemb decemb,4 → 18 → 4 → 13
13,take place mediat → negoti take place → take place mediat → reconcili refus resum,4 → 18 → 4 → 30
13,take place mediat → negoti take place → take place mediat → februari januari hold,4 → 18 → 4 → 19
13,take place mediat → negoti take place → take place mediat → effort progress lead,4 → 18 → 4 → 1
13,take place mediat → negoti take place → establish develop implement → take place mediat,4 → 18 → 43 → 4
13,take place mediat → negoti take place → establish develop implement → take place mediat → take place mediat,4 → 18 → 43 → 4 → 4
13,take place mediat → negoti take place → establish develop implement → establish develop implement,4 → 18 → 43 → 43
13,take place mediat → negoti take place → commit agreement committe → establish develop implement,4 → 18 → 11 → 43
13,take place mediat → negoti take place → coalit strateg launch → agreement implement reach,4 → 18 → 7 → 27
13,take place mediat → negoti take place → negoti take place → parti meet reach → agreement implement reach,4 → 18 → 18 → 39 → 27
13,take place mediat → negoti take place → negoti take place → cessat continu mediat → agreement implement reach,4 → 18 → 18 → 38 → 27
13,take place mediat → negoti take place → negoti take place → negoti take place → govern state take,4 → 18 → 18 → 18 → 20
13,take place mediat → negoti take place → negoti take place → negoti take place → negoti take place → negoti take place,4 → 18 → 18 → 18 → 18 → 18
13,take place mediat → negoti take place → negoti take place → negoti take place → negoti take place → take place mediat,4 → 18 → 18 → 18 → 18 → 4
13,take place mediat → negoti take place → negoti take place → negoti take place → sign meet comprehen,4 → 18 → 18 → 18 → 0
13,take place mediat → negoti take place → negoti take place → talk discuss take,4 → 18 → 18 → 48
13,take place mediat → negoti take place → negoti take place → effort progress lead,4 → 18 → 18 → 1
13,take place mediat → negoti take place → meet take place → take place mediat → meet take place,4 → 18 → 22 → 4 → 22
13,take place mediat → negoti take place → meet take place → parti meet reach,4 → 18 → 22 → 39
13,take place mediat → negoti take place → meet take place → cessat continu mediat,4 → 18 → 22 → 38
13,take place mediat → negoti take place → meet take place → agreement implement reach,4 → 18 → 22 → 27
13,take place mediat → negoti take place → meet take place → negoti take place,4 → 18 → 22 → 18
13,take place mediat → negoti take place → troop deploy militia,4 → 18 → 28
13,take place mediat → negoti take place → octob septemb decemb → meet take place,4 → 18 → 13 → 22
13,take place mediat → negoti take place → octob septemb decemb → negoti take place,4 → 18 → 13 → 18
13,take place mediat → negoti take place → octob septemb decemb → agreement implement reach,4 → 18 → 13 → 27
13,take place mediat → negoti take place → ceasefir take effect,4 → 18 → 25
13,take place mediat → negoti take place → effort progress lead → take place mediat,4 → 18 → 1 → 4
13,take place mediat → negoti take place → sudane sudan negoti,4 → 18 → 6
13,take place mediat → govern congoles congo → meet take place,4 → 44 → 22
13,take place mediat → govern congoles congo → coalit strateg launch,4 → 44 → 7
13,take place mediat → govern congoles congo → hold confer elect,4 → 44 → 49
